Speaker,Dialogue,File_ID
JFB016,<ds>え</ds>、こんにちは。,1
TFSu001,こんにちは。,1
JFB016,初めまして。,1
TFSu001,初めまして。 TFSu001姓と申します。,1
JFB016,TFSu001姓?。,1
TFSu001,TFSu001姓、単語1、単語1の漢字1。,1
JFB016,単語1の、単語1の漢字1?。,1
TFSu001,単語1。,1
JFB016,<ds>あ</ds>、<ds>あ</ds>、,1
TFSu001,単語1。,1
JFB016,これね、こっちね。,1
TFSu001,<ds>はい</ds>。,1
JFB016,<ds>あ</ds>、下の名前は?。,1
TFSu001,<ds>えーと</ds>、TFSu001名前といいます。,1
JFB016,TFSu001名前?。 な、どうやって書くの?。,1
TFSu001,<ds>えーと</ds>、に、日本にない漢字だから…。,1
JFB016,まじで。 書いちゃえ。 書いちゃえ。,1
TFSu001,えな、な、な、何語専攻?。,1
JFB016,<ds>あ</ds>、私英語。,1
TFSu001,英語…。 今何年生?。,1
JFB016,今ね、2年です。 <ds>あー</ds>、<ds>あ</ds>、難しい漢字だ。 あなんか、初めて見た漢字。,1
TFSu001,<ds>うん</ds>、これも初めてね。,1
JFB016,<ds>なんかね</ds>、これも見たことない。,1
TFSu001,ないよね。,1
JFB016,TFSu001名前さん。,1
TFSu001,<ds>うん</ds>。,1
JFB016,オッケー。 私、<ds>は</ds>、<ds>えっと</ds><ds>ね</ds>、JFB016フルネームっていいます。 JFB016姓…<ds>は</ds>、,1
TFSu001,<ds>うん</ds>,1
JFB016,漢字2の単語2で、,1
TFSu001,<ds>うん</ds>,1
JFB016,JFB016名前が、これ。,1
TFSu001,<ds>うん</ds>。,1
JFB016,単語3に単語4。 <ds>はーい</ds>。,1
TFSu001,よろしくー。,1
JFB016,よろしくお願い。 <ds>え</ds>、TFSu001名前さんは今何年生?。,1
TFSu001,あたし、修士1年。,1
JFB016,<ds>あ</ds>、大学院?。,1
TFSu001,<ds>はい</ds>。,1
JFB016,すごーい。 すごい。,1
TFSu001,全然全然。,1
JFB016,<ds>え</ds>、今どう、どういうことを習ってる?。,1
TFSu001,あたし日本語音声学。,1
JFB016,<ds>あ</ds>、すごーい。 なんか難しそうな。,1
TFSu001,そんなことない。,1
JFB016,なんかあたし去年のなんか主専の授業で、,1
TFSu001,<ds>うん</ds>,1
JFB016,<ds>なんか</ds>、英語の、音声学に,1
TFSu001,<ds>うん</ds>,1
JFB016,ついてちょっと習ったんですけど、,1
TFSu001,<ds>うん</ds>,1
JFB016,それでも難しいと思ったから、“破裂音が摩擦音が”って。,1
